id_prodotto,nome,categoria,fornitore,prezzo_acquisto,prezzo_vendita
1,Prodotto_001,Cardiologia,Fornitore_4,3.56,7.7
2,Prodotto_002,Vitamine,Fornitore_2,4.08,5.44
3,Prodotto_003,Pediatrici,Fornitore_4,9.31,11.53
4,Prodotto_004,Vitamine,Fornitore_4,10.85,13.39
5,Prodotto_005,Cardiologia,Fornitore_4,13.52,-3.5
6,Prodotto_006,Dermici,Fornitore_1,12.4,27.93
7,Prodotto_007,Vitamine,Fornitore_3,14.42,23.68
8,Prodotto_008,Vitamine,Fornitore_2,19.21,31.46
9,Prodotto_009,Dermici,Fornitore_5,3.29,7.57
10,Prodotto_010,Analgesici,Fornitore_7,15.0,28.46
11,Prodotto_011,Analgesici,Fornitore_6,11.71,26.68
12,Prodotto_012,Pediatrici,Fornitore_4,5.06,6.53
13,Prodotto_013,Antibiotici,Fornitore_2,,
14,Prodotto_014,Dermici,Fornitore_6,6.64,13.46
15,Prodotto_015,Vitamine,Fornitore_5,8.35,12.29
16,Prodotto_016,Cardiologia,Fornitore_3,18.83,38.46
17,Prodotto_017,Pediatrici,Fornitore_7,14.99,21.17
18,Prodotto_018,Antibiotici,Fornitore_4,19.81,40.25
19,Prodotto_019,Cardiologia,Fornitore_1,7.5,16.49
20,Prodotto_020,Vitamine,Fornitore_7,16.7,37.52
21,Prodotto_021,Antibiotici,Fornitore_6,2.72,6.49
22,Prodotto_022,Vitamine,Fornitore_8,13.63,23.37
23,Prodotto_023,Vitamine,Fornitore_5,6.4,9.73
24,Prodotto_024,Cardiologia,Fornitore_7,12.31,29.14
25,Prodotto_025,Antibiotici,Fornitore_8,5.56,13.88
26,Prodotto_026,Analgesici,Fornitore_3,15.48,35.9
27,Prodotto_027,Cardiologia,Fornitore_2,4.46,9.3
28,Prodotto_028,Dermici,Fornitore_5,8.56,21.36
29,Prodotto_029,Pediatrici,Fornitore_2,17.42,21.16
30,Prodotto_030,Cardiologia,Fornitore_6,17.87,38.89
31,Prodotto_031,Analgesici,Fornitore_1,6.93,9.74
32,Prodotto_032,Cardiologia,Fornitore_3,17.7,27.3
33,Prodotto_033,Pediatrici,Fornitore_5,18.38,42.86
34,Prodotto_034,Cardiologia,Fornitore_6,10.89,15.88
35,Prodotto_035,Vitamine,Fornitore_1,11.48,25.4
36,Prodotto_036,Pediatrici,Fornitore_6,7.5,9.19
37,Prodotto_037,Antibiotici,Fornitore_2,5.93,8.97
38,Prodotto_038,Analgesici,Fornitore_3,15.04,34.0
39,Prodotto_039,Vitamine,Fornitore_3,13.71,33.33
40,Prodotto_040,Antibiotici,Fornitore_4,11.26,22.39
