id_cliente,età,genere,città,tessera_fedeltà
1,43,F,Misterbianco,sì
2,74,F,Catania,sì
3,46,M,Paternò,sì
4,47,M,Catania,sì
5,25,M,Catania,sì
6,60,M,Adrano,sì
7,53,F,Acireale,sì
8,78,M,Misterbianco,no
9,42,M,Catania,no
10,63,F,Misterbianco,no
11,24,M,Catania,no
12,61,M,Acireale,sì
13,42,F,Acireale,no
14,41,F,Misterbianco,sì
15,27,F,Adrano,sì
16,24,M,Catania,sì
17,39,F,Misterbianco,no
18,45,F,Catania,sì
19,66,M,Misterbianco,sì
20,76,F,Misterbianco,no
21,37,M,Paternò,sì
22,25,M,Paternò,sì
23,24,F,Adrano,sì
24,25,M,Acireale,sì
25,26,M,Misterbianco,sì
26,49,M,Adrano,sì
27,71,F,Paternò,sì
28,58,M,Paternò,no
29,34,F,Misterbianco,sì
30,27,M,Misterbianco,sì
31,27,M,Adrano,sì
32,34,F,Catania,sì
33,65,F,Acireale,no
34,56,M,Adrano,sì
35,31,M,Paternò,sì
36,31,M,Paternò,sì
37,44,F,Acireale,sì
38,82,F,Paternò,sì
39,29,F,Paternò,sì
40,18,F,Acireale,sì
41,38,F,Adrano,no
42,19,M,Catania,sì
43,22,F,Adrano,sì
44,73,M,Catania,sì
45,64,M,Paternò,sì
46,49,M,Paternò,no
47,37,M,Acireale,sì
48,70,M,Acireale,sì
49,70,M,Paternò,sì
50,31,F,Catania,no
51,46,M,Misterbianco,sì
52,57,M,Acireale,sì
53,42,F,Paternò,sì
54,26,F,Paternò,no
55,60,M,Catania,sì
56,40,F,Catania,sì
57,73,F,Paternò,no
58,83,M,Misterbianco,sì
59,50,M,Misterbianco,sì
60,84,M,Paternò,no
61,26,F,Adrano,sì
62,33,F,Adrano,sì
63,70,F,Misterbianco,sì
64,34,M,Misterbianco,no
65,40,F,Misterbianco,sì
66,56,F,Acireale,no
67,59,F,Misterbianco,no
68,45,F,Acireale,sì
69,54,F,Catania,sì
70,57,M,Acireale,sì
71,21,M,Acireale,no
72,27,F,Misterbianco,sì
73,67,F,Misterbianco,sì
74,36,M,Catania,no
75,46,M,Adrano,no
76,24,M,Catania,no
77,35,F,Adrano,sì
78,74,F,Adrano,no
79,38,F,Misterbianco,sì
80,49,F,Adrano,no
81,48,F,Misterbianco,sì
82,54,M,Paternò,sì
83,58,M,Acireale,sì
84,47,F,Acireale,sì
85,26,F,Misterbianco,sì
86,77,F,Catania,sì
87,71,F,Adrano,sì
88,66,F,Catania,sì
89,56,F,Misterbianco,sì
90,80,M,Paternò,no
91,80,M,Misterbianco,sì
92,69,M,Misterbianco,sì
93,21,F,Adrano,sì
94,28,F,Acireale,no
95,41,M,Paternò,no
96,59,M,Misterbianco,sì
97,61,F,Paternò,no
98,50,M,Misterbianco,sì
99,24,F,Acireale,sì
100,23,M,Acireale,sì
101,20,M,Acireale,sì
102,78,M,Adrano,sì
103,77,F,Paternò,sì
104,32,M,Paternò,sì
105,21,F,Adrano,no
106,68,M,Catania,sì
107,31,F,Adrano,sì
108,23,F,Adrano,no
109,65,M,Adrano,sì
110,19,F,Misterbianco,sì
111,73,F,Misterbianco,sì
112,73,M,Adrano,sì
113,79,F,Misterbianco,sì
114,59,M,Catania,sì
115,75,M,Misterbianco,no
116,61,M,Misterbianco,sì
117,41,F,Acireale,sì
118,51,F,Paternò,sì
119,19,M,Catania,sì
120,70,F,Adrano,sì
121,78,F,Misterbianco,sì
122,29,F,Acireale,no
123,49,F,Adrano,sì
124,78,F,Misterbianco,sì
125,63,F,Paternò,sì
126,50,M,Catania,sì
127,58,M,Adrano,sì
128,42,M,Misterbianco,sì
129,85,F,Catania,sì
130,55,M,Paternò,sì
