id_vendita,data,id_prodotto,id_farmacia,quantità,prezzo_unitario,id_cliente
1,2023-11-06,25,4,2,23.73,148
2,2023-10-30,19,1,7,23.51,176
3,2023-02-20,32,3,4,15.39,163
4,2023-07-14,17,2,2,26.56,80
5,2024-03-27,38,3,3,13.21,192
6,2024-03-01,13,2,9,15.90,129
7,2023-10-07,17,4,5,14.87,30
8,2024-04-24,10,2,7,32.57,94
9,2023-04-03,1,3,9,16.01,192
10,2024-11-19,38,4,6,10.89,7
11,2024-09-26,21,5,4,26.15,119
12,2024-12-18,27,1,3,3.41,127
13,2023-04-29,16,5,3,16.10,191
14,2024-12-14,27,5,3,26.89,126
15,2024-09-22,18,1,6,18.90,61
16,2024-01-07,24,5,6,12.48,32
17,2024-04-10,14,5,1,14.67,33
18,2024-08-01,5,5,4,32.90,60
19,2023-12-03,39,1,5,7.50,34
20,2024-07-07,12,1,1,15.61,61
21,2024-08-25,2,2,5,30.19,135
22,2023-04-27,5,4,8,21.50,28
23,2024-04-07,15,5,1,36.53,169
24,2024-06-17,30,1,1,34.20,110
25,2024-12-03,32,4,2,14.24,38
26,2023-03-09,18,5,10,14.36,153
27,2024-06-27,30,5,10,32.14,30
28,2024-11-01,36,2,7,10.68,87
29,2024-04-09,27,1,6,27.27,96
30,2023-06-06,31,1,2,5.54,25
31,2024-01-17,36,1,10,23.34,172
32,2023-05-06,23,4,1,24.82,91
33,2023-04-17,33,2,3,10.52,28
34,2023-12-25,24,1,5,32.67,144
35,2024-09-28,36,1,10,33.52,69
36,2023-01-30,18,3,6,8.89,37
37,2024-08-02,26,1,3,38.93,24
38,2024-06-27,25,4,8,16.06,185
39,2023-11-29,39,1,1,30.67,13
40,2024-11-21,18,4,7,18.80,70
41,2023-08-09,8,3,7,27.77,152
42,2024-05-13,20,1,4,24.77,2
43,2023-07-29,14,2,5,6.56,128
44,2024-03-16,9,4,9,21.01,172
45,2023-12-29,26,1,7,35.90,20
46,2023-11-17,28,5,7,17.87,30
47,2024-02-19,21,2,10,28.21,93
48,2023-04-01,7,2,7,21.91,102
49,2023-11-14,22,2,6,4.90,163
50,2023-04-27,33,2,6,38.41,166
51,2023-06-01,7,2,5,24.89,195
52,2024-11-02,12,4,8,30.88,115
53,2024-11-28,40,3,6,4.59,114
54,2024-10-08,18,5,1,4.82,119
55,2024-04-07,4,3,5,34.84,24
56,2024-09-21,33,4,8,38.26,190
