id_vendita,data,id_prodotto,id_farmacia,quantità,prezzo_unitario,id_cliente
1,2023-11-06,25,4,2,23.73,148
2,30-10-2023,19,1,7,23.51,176
3,20-02-2023,32,3,4,15.39,163
4,14-07-2023,17,2,2,26.56,80
5,2024-03-27,38,3,3,13.21,192
6,2024-03-01,13,2,9,15.9,129
7,2023-10-07,17,4,5,14.87,30
8,2024-04-24,10,2,7,32.57,94
9,03/04/2023,1,3,9,16.01,192
10,19/11/2024,38,4,6,10.89,7
11,26-09-2024,21,5,4,26.15,119
12,18/12/2024,27,1,3,3.41,127
13,2023-04-29,16,5,3,16.1,191
14,14-12-2024,27,5,3,26.89,126
15,22/09/2024,18,1,6,18.9,61
16,2024-01-07,24,5,6,12.48,32
17,2024-04-10,14,5,1,14.67,33
18,2024-08-01,5,5,4,32.9,60
19,2023-12-03,39,1,5,7.5,34
20,07/07/2024,12,1,1,15.61,61
21,25/08/2024,2,2,5,30.19,135
22,27-04-2023,5,4,8,21.5,28
23,07-04-2024,15,5,1,36.53,169
24,17/06/2024,30,1,1,34.2,110
25,2024-12-03,32,4,2,14.24,38
26,2023-03-09,18,5,10,14.36,153
27,27/06/2024,30,5,10,32.14,30
28,01-11-2024,36,2,7,10.68,87
29,09/04/2024,27,1,6,27.27,96
30,06-06-2023,31,1,2,5.54,25
31,2024-01-17,36,1,10,23.34,172
32,06/05/2023,23,4,1,24.82,91
33,17-04-2023,33,2,3,10.52,28
34,25-12-2023,24,1,5,32.67,144
35,28-09-2024,36,1,10,33.52,69
36,2023-01-30,18,3,6,8.89,37
37,02-08-2024,26,1,3,38.93,24
38,2024-06-27,25,4,8,16.06,185
39,29-11-2023,39,1,1,30.67,13
40,2024-11-21,18,4,7,18.8,70
41,09-08-2023,8,3,7,27.77,152
42,13-05-2024,20,1,4,24.77,2
43,29/07/2023,14,2,5,6.56,128
44,2024-03-16,9,4,9,21.01,172
45,2023-12-29,26,1,7,,20
46,17-11-2023,28,5,7,17.87,30
47,2024-02-19,21,2,10,28.21,93
48,01/04/2023,7,2,7,21.91,102
49,14-11-2023,22,2,6,4.9,163
50,27-04-2023,33,2,6,38.41,166
51,2023-06-01,7,2,5,24.89,195
52,2024-11-02,12,4,8,30.88,115
53,28-11-2024,40,3,6,4.59,114
54,08/10/2024,18,5,1,4.82,119
55,2024-04-07,4,3,5,34.84,24
56,21-09-2024,33,4,8,38.26,190
57,12/02/2023,37,2,6,21.05,16
58,2024-04-06,22,1,9,3.49,182
59,24/03/2024,34,5,10,16.17,73
60,01/02/2024,22,5,1,26.6,17
61,2023-12-04,36,4,5,34.36,155
62,03/06/2023,6,5,3,13.79,168
63,16-12-2024,26,2,10,5.22,144
64,21-01-2024,22,2,9,27.48,131
65,2024-01-06,24,3,3,14.99,197
66,2024-05-12,15,2,3,34.09,26
67,03-06-2024,34,1,6,25.49,153
68,2024-01-21,11,2,10,8.29,113
69,14/02/2023,24,2,8,30.59,115
70,28-08-2023,16,3,8,9.37,174
71,07/08/2024,30,3,7,17.91,42
72,24-07-2023,9,3,1,35.22,142
73,16-04-2023,34,1,5,8.09,116
74,2024-06-09,28,1,4,35.62,7
75,2024-02-29,26,5,6,39.79,96
76,2023-08-18,21,1,6,7.23,74
77,28-04-2024,9,4,8,36.42,5
78,2023-09-20,10,5,10,6.23,74
79,01/09/2023,8,1,4,32.17,118
80,2023-03-06,32,5,9,,132
81,2024-08-11,10,3,7,,91
82,04-09-2023,27,2,2,15.7,135
83,11-07-2024,33,5,1,19.87,163
84,01/02/2024,17,1,6,15.1,188
85,03-11-2024,7,5,6,15.39,87
86,2024-10-20,30,4,3,4.4,199
87,2024-04-13,19,2,1,35.66,81
88,14-11-2023,26,5,8,30.63,49
89,20/10/2023,4,3,5,15.98,103
90,26/03/2024,22,2,8,15.96,133
91,2023-10-01,28,1,7,33.25,140
92,28/10/2023,7,1,6,13.65,155
93,2024-03-12,29,3,8,35.06,91
94,21/09/2024,18,1,2,17.44,132
95,2024-11-26,2,2,10,18.65,33
96,2023-03-10,24,3,7,3.23,40
97,26/11/2024,24,3,8,23.81,136
98,11/01/2024,21,3,4,2.98,48
99,26-05-2024,25,5,2,11.89,115
100,08-08-2023,19,4,4,34.41,116
101,26-06-2023,29,1,6,28.96,141
102,09/07/2024,20,2,3,21.33,32
103,2023-07-25,16,4,1,23.75,120
104,2024-07-18,40,1,2,39.98,185
105,05-05-2024,27,4,10,38.95,165
106,17/03/2023,30,5,6,33.5,142
107,17-10-2024,12,2,7,34.99,32
108,2024-06-14,20,2,3,28.95,89
109,15/06/2024,6,3,4,22.93,33
110,02/10/2024,40,5,2,8.41,149
111,2023-06-07,40,5,6,23.42,8
112,2023-03-25,37,3,4,17.83,164
113,01/02/2023,35,3,5,32.58,176
114,20/02/2024,30,1,1,17.79,119
115,28/07/2023,39,2,6,14.13,89
116,2024-02-13,24,5,9,11.19,32
117,01/10/2023,16,2,2,37.92,158
118,2024-03-04,11,3,10,9.21,41
119,25-05-2024,30,4,5,5.42,101
120,01/06/2024,16,2,10,3.92,127
121,03-09-2024,31,3,9,,28
122,2024-03-17,17,3,7,17.22,146
123,2024-07-29,24,5,5,21.16,196
124,17/07/2024,40,5,2,5.67,96
125,14-12-2023,24,2,4,17.25,11
126,2023-02-16,9,3,8,7.66,132
127,24/05/2023,40,3,3,25.43,77
128,30/08/2024,33,5,9,23.39,122
129,18/01/2023,22,1,7,32.28,186
130,05-12-2024,2,5,8,26.91,199
131,15-08-2024,15,1,10,21.92,185
132,26/09/2024,10,2,1,28.62,49
133,20/01/2023,21,4,3,9.75,129
134,18/09/2024,4,2,9,14.35,170
135,04-05-2024,25,3,3,22.26,140
136,29-12-2023,17,5,8,11.37,143
137,2023-11-02,20,3,4,20.58,123
138,24-12-2023,18,3,2,22.64,102
139,2023-12-20,19,1,5,5.0,114
140,02/11/2024,31,2,4,12.3,144
141,13/12/2024,9,1,10,11.09,13
142,16-11-2024,15,2,1,14.55,121
143,13-04-2023,9,1,9,8.0,168
144,02/05/2024,13,3,6,4.25,197
145,02-04-2023,37,2,9,34.31,10
146,29/06/2023,12,1,7,9.08,192
147,2023-10-24,1,3,10,37.28,86
148,19/10/2023,35,5,8,7.1,130
149,24/04/2024,13,1,6,19.44,66
150,2023-07-10,22,3,10,9.34,157
151,16/10/2024,28,5,6,27.43,48
152,24/05/2023,21,2,1,10.95,193
153,01/10/2023,20,5,10,,168
154,04-01-2024,16,1,2,8.07,176
155,29-05-2024,20,1,5,10.39,35
156,2024-05-04,30,5,6,22.87,121
157,04-07-2024,14,2,10,5.11,115
158,24-06-2024,24,1,10,33.49,130
159,27-07-2023,35,2,3,21.77,30
160,2024-11-27,38,4,2,18.93,15
161,2024-04-09,33,4,8,23.23,173
162,12-11-2023,2,4,5,30.34,149
163,2023-03-16,28,3,2,4.29,18
164,2024-04-28,19,4,3,31.1,187
165,23/10/2024,24,4,8,36.46,97
166,24-03-2023,35,2,6,39.73,101
167,2024-06-25,15,1,1,19.59,185
