id_cliente,eta,fascia_eta,genere,citta,tessera_fedelta
1,43,36-50,F,Misterbianco,1
2,74,66+,F,Catania,1
3,46,36-50,M,Paternò,1
4,47,36-50,M,Catania,1
5,25,18-35,M,Catania,1
6,60,51-65,M,Adrano,1
7,53,51-65,F,Acireale,1
8,78,66+,M,Misterbianco,0
9,42,36-50,M,Catania,0
10,63,51-65,F,Misterbianco,0
11,24,18-35,M,Catania,0
12,61,51-65,M,Acireale,1
13,42,36-50,F,Acireale,0
14,41,36-50,F,Misterbianco,1
15,27,18-35,F,Adrano,1
16,24,18-35,M,Catania,1
17,39,36-50,F,Misterbianco,0
18,45,36-50,F,Catania,1
19,66,66+,M,Misterbianco,1
20,76,66+,F,Misterbianco,0
21,37,36-50,M,Paternò,1
22,25,18-35,M,Paternò,1
23,24,18-35,F,Adrano,1
24,25,18-35,M,Acireale,1
25,26,18-35,M,Misterbianco,1
26,49,36-50,M,Adrano,1
27,71,66+,F,Paternò,1
28,58,51-65,M,Paternò,0
29,34,18-35,F,Misterbianco,1
30,27,18-35,M,Misterbianco,1
31,27,18-35,M,Adrano,1
32,34,18-35,F,Catania,1
33,65,51-65,F,Acireale,0
34,56,51-65,M,Adrano,1
35,31,18-35,M,Paternò,1
36,31,18-35,M,Paternò,1
37,44,36-50,F,Acireale,1
38,82,66+,F,Paternò,1
39,29,18-35,F,Paternò,1
40,18,18-35,F,Acireale,1
41,38,36-50,F,Adrano,0
42,19,18-35,M,Catania,1
43,22,18-35,F,Adrano,1
44,73,66+,M,Catania,1
45,64,51-65,M,Paternò,1
46,49,36-50,M,Paternò,0
47,37,36-50,M,Acireale,1
48,70,66+,M,Acireale,1
49,70,66+,M,Paternò,1
50,31,18-35,F,Catania,0
51,46,36-50,M,Misterbianco,1
52,57,51-65,M,Acireale,1
53,42,36-50,F,Paternò,1
54,26,18-35,F,Paternò,0
55,60,51-65,M,Catania,1
56,40,36-50,F,Catania,1
57,73,66+,F,Paternò,0
58,83,66+,M,Misterbianco,1
59,50,36-50,M,Misterbianco,1
60,84,66+,M,Paternò,0
61,26,18-35,F,Adrano,1
62,33,18-35,F,Adrano,1
63,70,66+,F,Misterbianco,1
64,34,18-35,M,Misterbianco,0
65,40,36-50,F,Misterbianco,1
66,56,51-65,F,Acireale,0
67,59,51-65,F,Misterbianco,0
68,45,36-50,F,Acireale,1
69,54,51-65,F,Catania,1
