id_fatto,id_tempo,id_prodotto,id_farmacia,id_cliente,quantita,prezzo_unitario,fatturato,margine
1,20231106,25,4,148,2,23.73,47.46,36.34
2,20231030,19,1,176,7,23.51,164.57,112.07
3,20230220,32,3,163,4,15.39,61.56,-9.24
4,20230714,17,2,80,2,26.56,53.12,23.14
5,20240327,38,3,192,3,13.21,39.63,-5.49
6,20240301,13,2,129,9,15.90,143.10,89.73
7,20231007,17,4,30,5,14.87,74.35,-0.60
8,20240424,10,2,94,7,32.57,227.99,122.99
9,20230403,1,3,192,9,16.01,144.09,112.05
10,20241119,38,4,7,6,10.89,65.34,-24.90
11,20240926,21,5,119,4,26.15,104.60,93.72
12,20241218,27,1,127,3,3.41,10.23,-3.15
13,20230429,16,5,191,3,16.10,48.30,-8.19
14,20241214,27,5,126,3,26.89,80.67,67.29
15,20240922,18,1,61,6,18.90,113.40,-5.46
16,20240107,24,5,32,6,12.48,74.88,1.02
17,20240410,14,5,33,1,14.67,14.67,8.03
18,20240801,5,5,60,4,32.90,131.60,77.52
19,20231203,39,1,34,5,7.50,37.50,-31.05
20,20240707,12,1,61,1,15.61,15.61,10.55
21,20240825,2,2,135,5,30.19,150.95,130.55
22,20230427,5,4,28,8,21.50,172.00,63.84
23,20240407,15,5,169,1,36.53,36.53,28.18
24,20240617,30,1,110,1,34.20,34.20,16.33
25,20241203,32,4,38,2,14.24,28.48,-6.92
26,20230309,18,5,153,10,14.36,143.60,-54.50
27,20240627,30,5,30,10,32.14,321.40,142.70
28,20241101,36,2,87,7,10.68,74.76,22.26
29,20240409,27,1,96,6,27.27,163.62,136.86
30,20230606,31,1,25,2,5.54,11.08,-2.78
31,20240117,36,1,172,10,23.34,233.40,158.40
32,20230506,23,4,91,1,24.82,24.82,18.42
33,20230417,33,2,28,3,10.52,31.56,-23.58
34,20231225,24,1,144,5,32.67,163.35,101.80
35,20240928,36,1,69,10,33.52,335.20,260.20
36,20230130,18,3,37,6,8.89,53.34,-65.52
37,20240802,26,1,24,3,38.93,116.79,70.35
38,20240627,25,4,185,8,16.06,128.48,84.00
39,20231129,39,1,13,1,30.67,30.67,16.96
40,20241121,18,4,70,7,18.80,131.60,-7.07
41,20230809,8,3,152,7,27.77,194.39,59.92
42,20240513,20,1,2,4,24.77,99.08,32.28
43,20230729,14,2,128,5,6.56,32.80,-0.40
44,20240316,9,4,172,9,21.01,189.09,159.48
45,20231229,26,1,20,7,35.90,251.30,142.94
46,20231117,28,5,30,7,17.87,125.09,65.17
47,20240219,21,2,93,10,28.21,282.10,254.90
48,20230401,7,2,102,7,21.91,153.37,52.43
49,20231114,22,2,163,6,4.90,29.40,-52.38
50,20230427,33,2,166,6,38.41,230.46,120.18
51,20230601,7,2,195,5,24.89,124.45,52.35
52,20241102,12,4,115,8,30.88,247.04,206.56
53,20241128,40,3,114,6,4.59,27.54,-40.02
54,20241008,18,5,119,1,4.82,4.82,-14.99
55,20240407,4,3,24,5,34.84,174.20,119.95
56,20240921,33,4,190,8,38.26,306.08,159.04
57,20230212,37,2,16,6,21.05,126.30,90.72
58,20240406,22,1,182,9,3.49,31.41,-91.26
59,20240324,34,5,73,10,16.17,161.70,52.80
60,20240201,22,5,17,1,26.60,26.60,12.97
61,20231204,36,4,155,5,34.36,171.80,134.30
62,20230603,6,5,168,3,13.79,41.37,4.17
63,20241216,26,2,144,10,5.22,52.20,-102.60
64,20240121,22,2,131,9,27.48,247.32,124.65
65,20240106,24,3,197,3,14.99,44.97,8.04
66,20240512,15,2,26,3,34.09,102.27,77.22
67,20240603,34,1,153,6,25.49,152.94,87.60
68,20240121,11,2,113,10,8.29,82.90,-34.20
69,20230214,24,2,115,8,30.59,244.72,146.24
70,20230828,16,3,174,8,9.37,74.96,-75.68
71,20240807,30,3,42,7,17.91,125.37,0.28
72,20230724,9,3,142,1,35.22,35.22,31.93
73,20230416,34,1,116,5,8.09,40.45,-14.00
74,20240609,28,1,7,4,35.62,142.48,108.24
75,20240229,26,5,96,6,39.79,238.74,145.86
76,20230818,21,1,74,6,7.23,43.38,27.06
77,20240428,9,4,5,8,36.42,291.36,265.04
78,20230920,10,5,74,10,6.23,62.30,-87.70
79,20230901,8,1,118,4,32.17,128.68,51.84
80,20230306,32,5,132,9,27.30,245.70,86.40
81,20240811,10,3,91,7,28.46,199.22,94.22
82,20230904,27,2,135,2,15.70,31.40,22.48
83,20240711,33,5,163,1,19.87,19.87,1.49
84,20240201,17,1,188,6,15.10,90.60,0.66
85,20241103,7,5,87,6,15.39,92.34,5.82
86,20241020,30,4,199,3,4.40,13.20,-40.41
87,20240413,19,2,81,1,35.66,35.66,28.16
88,20231114,26,5,49,8,30.63,245.04,121.20
89,20231020,4,3,103,5,15.98,79.90,25.65
90,20240326,22,2,133,8,15.96,127.68,18.64
91,20231001,28,1,140,7,33.25,232.75,172.83
92,20231028,7,1,155,6,13.65,81.90,-4.62
93,20240312,29,3,91,8,35.06,280.48,141.12
94,20240921,18,1,132,2,17.44,34.88,-4.74
95,20241126,2,2,33,10,18.65,186.50,145.70
96,20230310,24,3,40,7,3.23,22.61,-63.56
97,20241126,24,3,136,8,23.81,190.48,92.00
98,20240111,21,3,48,4,2.98,11.92,1.04
99,20240526,25,5,115,2,11.89,23.78,12.66
100,20230808,19,4,116,4,34.41,137.64,107.64
101,20230626,29,1,141,6,28.96,173.76,69.24
102,20240709,20,2,32,3,21.33,63.99,13.89
103,20230725,16,4,120,1,23.75,23.75,4.92
104,20240718,40,1,185,2,39.98,79.96,57.44
105,20240505,27,4,165,10,38.95,389.50,344.90
106,20230317,30,5,142,6,33.50,201.00,93.78
107,20241017,12,2,32,7,34.99,244.93,209.51
108,20240614,20,2,89,3,28.95,86.85,36.75
109,20240615,6,3,33,4,22.93,91.72,42.12
110,20241002,40,5,149,2,8.41,16.82,-5.70
111,20230607,40,5,8,6,23.42,140.52,72.96
112,20230325,37,3,164,4,17.83,71.32,47.60
113,20230201,35,3,176,5,32.58,162.90,105.50
114,20240220,30,1,119,1,17.79,17.79,-0.08
115,20230728,39,2,89,6,14.13,84.78,2.52
116,20240213,24,5,32,9,11.19,100.71,-10.08
117,20231001,16,2,158,2,37.92,75.84,38.18
118,20240304,11,3,41,10,9.21,92.10,-25.00
119,20240525,30,4,101,5,5.42,27.10,-62.25
120,20240601,16,2,127,10,3.92,39.20,-149.10
121,20240903,31,3,28,9,9.74,87.66,25.29
122,20240317,17,3,146,7,17.22,120.54,15.61
123,20240729,24,5,196,5,21.16,105.80,44.25
124,20240717,40,5,96,2,5.67,11.34,-11.18
125,20231214,24,2,11,4,17.25,69.00,19.76
