source,record_key,field,reason,raw_record
bronze_vendite_raw,6,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""2024-03-01"", ""id_cliente"": ""129"", ""id_farmacia"": ""2"", ""id_prodotto"": ""13"", ""id_vendita"": ""6"", ""prezzo_unitario"": ""15.9"", ""quantita"": ""9""}"
bronze_vendite_raw,18,id_prodotto,prodotto assente da silver_prodotti: 5,"{""data"": ""2024-08-01"", ""id_cliente"": ""60"", ""id_farmacia"": ""5"", ""id_prodotto"": ""5"", ""id_vendita"": ""18"", ""prezzo_unitario"": ""32.9"", ""quantita"": ""4""}"
bronze_vendite_raw,22,id_prodotto,prodotto assente da silver_prodotti: 5,"{""data"": ""27-04-2023"", ""id_cliente"": ""28"", ""id_farmacia"": ""4"", ""id_prodotto"": ""5"", ""id_vendita"": ""22"", ""prezzo_unitario"": ""21.5"", ""quantita"": ""8""}"
bronze_vendite_raw,45,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""2023-12-29"", ""id_cliente"": ""20"", ""id_farmacia"": ""1"", ""id_prodotto"": ""26"", ""id_vendita"": ""45"", ""prezzo_unitario"": null, ""quantita"": ""7""}"
bronze_vendite_raw,80,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""2023-03-06"", ""id_cliente"": ""132"", ""id_farmacia"": ""5"", ""id_prodotto"": ""32"", ""id_vendita"": ""80"", ""prezzo_unitario"": null, ""quantita"": ""9""}"
bronze_vendite_raw,81,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""2024-08-11"", ""id_cliente"": ""91"", ""id_farmacia"": ""3"", ""id_prodotto"": ""10"", ""id_vendita"": ""81"", ""prezzo_unitario"": null, ""quantita"": ""7""}"
bronze_vendite_raw,121,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""03-09-2024"", ""id_cliente"": ""28"", ""id_farmacia"": ""3"", ""id_prodotto"": ""31"", ""id_vendita"": ""121"", ""prezzo_unitario"": null, ""quantita"": ""9""}"
bronze_vendite_raw,144,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""02/05/2024"", ""id_cliente"": ""197"", ""id_farmacia"": ""3"", ""id_prodotto"": ""13"", ""id_vendita"": ""144"", ""prezzo_unitario"": ""4.25"", ""quantita"": ""6""}"
bronze_vendite_raw,149,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""24/04/2024"", ""id_cliente"": ""66"", ""id_farmacia"": ""1"", ""id_prodotto"": ""13"", ""id_vendita"": ""149"", ""prezzo_unitario"": ""19.44"", ""quantita"": ""6""}"
bronze_vendite_raw,153,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""01/10/2023"", ""id_cliente"": ""168"", ""id_farmacia"": ""5"", ""id_prodotto"": ""20"", ""id_vendita"": ""153"", ""prezzo_unitario"": null, ""quantita"": ""10""}"
bronze_vendite_raw,170,id_prodotto,prodotto assente da silver_prodotti: 5,"{""data"": ""2023-09-04"", ""id_cliente"": ""181"", ""id_farmacia"": ""1"", ""id_prodotto"": ""5"", ""id_vendita"": ""170"", ""prezzo_unitario"": ""24.72"", ""quantita"": ""10""}"
bronze_vendite_raw,182,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""2023-01-16"", ""id_cliente"": ""181"", ""id_farmacia"": ""1"", ""id_prodotto"": ""13"", ""id_vendita"": ""182"", ""prezzo_unitario"": ""28.43"", ""quantita"": ""8""}"
bronze_vendite_raw,192,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""15-10-2024"", ""id_cliente"": ""137"", ""id_farmacia"": ""4"", ""id_prodotto"": ""40"", ""id_vendita"": ""192"", ""prezzo_unitario"": null, ""quantita"": ""8""}"
bronze_vendite_raw,208,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""03/02/2024"", ""id_cliente"": ""79"", ""id_farmacia"": ""1"", ""id_prodotto"": ""24"", ""id_vendita"": ""208"", ""prezzo_unitario"": null, ""quantita"": ""2""}"
bronze_vendite_raw,215,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""20/07/2023"", ""id_cliente"": ""102"", ""id_farmacia"": ""2"", ""id_prodotto"": ""7"", ""id_vendita"": ""215"", ""prezzo_unitario"": null, ""quantita"": ""5""}"
bronze_vendite_raw,254,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""13/01/2024"", ""id_cliente"": ""199"", ""id_farmacia"": ""3"", ""id_prodotto"": ""32"", ""id_vendita"": ""254"", ""prezzo_unitario"": null, ""quantita"": ""10""}"
bronze_vendite_raw,291,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""20-07-2023"", ""id_cliente"": ""105"", ""id_farmacia"": ""2"", ""id_prodotto"": ""35"", ""id_vendita"": ""291"", ""prezzo_unitario"": null, ""quantita"": ""3""}"
bronze_vendite_raw,305,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""2023-01-23"", ""id_cliente"": ""85"", ""id_farmacia"": ""4"", ""id_prodotto"": ""13"", ""id_vendita"": ""305"", ""prezzo_unitario"": ""34.2"", ""quantita"": ""3""}"
bronze_vendite_raw,318,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""2024-09-08"", ""id_cliente"": ""158"", ""id_farmacia"": ""5"", ""id_prodotto"": ""2"", ""id_vendita"": ""318"", ""prezzo_unitario"": null, ""quantita"": ""8""}"
bronze_vendite_raw,326,id_prodotto,prodotto assente da silver_prodotti: 5,"{""data"": ""25/05/2023"", ""id_cliente"": ""23"", ""id_farmacia"": ""2"", ""id_prodotto"": ""5"", ""id_vendita"": ""326"", ""prezzo_unitario"": ""8.38"", ""quantita"": ""6""}"
bronze_vendite_raw,356,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""02/06/2024"", ""id_cliente"": ""50"", ""id_farmacia"": ""5"", ""id_prodotto"": ""9"", ""id_vendita"": ""356"", ""prezzo_unitario"": null, ""quantita"": ""10""}"
bronze_vendite_raw,382,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""26-11-2023"", ""id_cliente"": ""178"", ""id_farmacia"": ""1"", ""id_prodotto"": ""13"", ""id_vendita"": ""382"", ""prezzo_unitario"": ""11.46"", ""quantita"": ""1""}"
bronze_vendite_raw,416,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""09/08/2023"", ""id_cliente"": ""163"", ""id_farmacia"": ""3"", ""id_prodotto"": ""13"", ""id_vendita"": ""416"", ""prezzo_unitario"": ""3.77"", ""quantita"": ""2""}"
bronze_vendite_raw,445,id_prodotto,prodotto assente da silver_prodotti: 5,"{""data"": ""21-03-2024"", ""id_cliente"": ""23"", ""id_farmacia"": ""2"", ""id_prodotto"": ""5"", ""id_vendita"": ""445"", ""prezzo_unitario"": ""14.61"", ""quantita"": ""1""}"
bronze_vendite_raw,481,id_prodotto,prodotto assente da silver_prodotti: 5,"{""data"": ""02-09-2024"", ""id_cliente"": ""52"", ""id_farmacia"": ""2"", ""id_prodotto"": ""5"", ""id_vendita"": ""481"", ""prezzo_unitario"": ""6.13"", ""quantita"": ""7""}"
bronze_vendite_raw,502,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""20-08-2023"", ""id_cliente"": ""105"", ""id_farmacia"": ""4"", ""id_prodotto"": ""13"", ""id_vendita"": ""502"", ""prezzo_unitario"": ""11.92"", ""quantita"": ""7""}"
bronze_vendite_raw,509,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""07-07-2023"", ""id_cliente"": ""68"", ""id_farmacia"": ""4"", ""id_prodotto"": ""13"", ""id_vendita"": ""509"", ""prezzo_unitario"": ""11.2"", ""quantita"": ""4""}"
bronze_vendite_raw,510,id_prodotto,prodotto assente da silver_prodotti: 13,"{""data"": ""2023-07-31"", ""id_cliente"": ""31"", ""id_farmacia"": ""2"", ""id_prodotto"": ""13"", ""id_vendita"": ""510"", ""prezzo_unitario"": ""31.6"", ""quantita"": ""10""}"
bronze_vendite_raw,535,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""2024-10-03"", ""id_cliente"": ""170"", ""id_farmacia"": ""5"", ""id_prodotto"": ""9"", ""id_vendita"": ""535"", ""prezzo_unitario"": null, ""quantita"": ""3""}"
bronze_vendite_raw,540,prezzo_unitario,campo obbligatorio mancante,"{""data"": ""20/05/2023"", ""id_cliente"": ""126"", ""id_farmacia"": ""4"", ""id_prodotto"": ""19"", ""id_vendita"": ""540"", ""prezzo_unitario"": null, ""quantita"": ""9""}"
